Rxn_RK,Name from iJR904,Name in xls file,Name_checked,Rxn_FF,LB_FF,LB_AP,LB_RK,LB_ok,,UB_FF,UB_AP,UB_RK,UB_ok,,name_chek,double check,
EX_leu-L(e),EX_leu-L(e),,EX_leu-L(e),EX_leu__L_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_fru(e),EX_fru(e),,EX_fru(e),EX_fru_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_lys-L(e),EX_lys-L(e),,EX_lys-L(e),EX_lys__L_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_fuc1p-L(e),EX_fuc1p-L(e),,EX_fuc1p-L(e),EX_fuc1p__L_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_fuc-L(e),EX_fuc-L(e),,EX_fuc-L(e),EX_fuc__L_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_fum(e),EX_fum(e),,EX_fum(e),EX_fum_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
,EX_mal-L(e),EX_mal-L(e),EX_mal-L(e),EX_mal__L_e,0,0,Varied,,,999999,999999,Varied,,,c,c,cc
EX_g6p(e),EX_g6p(e),,EX_g6p(e),EX_g6p_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_gal(e),EX_gal(e),,EX_gal(e),EX_gal_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_galct-D(e),EX_galct-D(e),,EX_galct-D(e),EX_galct__D_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_galctn-D(e),EX_galctn-D(e),,EX_galctn-D(e),EX_galctn__D_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_galt(e),EX_galt(e),,EX_galt(e),EX_galt_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_malt(e),EX_malt(e),,EX_malt(e),EX_malt_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_galur(e),EX_galur(e),,EX_galur(e),EX_galur_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
,EX_gam(e),EX_gam(e),EX_gam(e),EX_gam_e,0,0,0,,,999999,999999,1E+30,,,c,c,cc
EX_gbbtn(e),EX_gbbtn(e),,EX_gbbtn(e),EX_gbbtn_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
,EX_glc(e),EX_glc(e),EX_glc(e),EX_glc__D_e,-10,-10,Varied,,,0,-10,Varied,,,c,c,cc
,EX_glcn(e),EX_glcn(e),EX_glcn(e),EX_glcn_e,0,0,0,,,999999,999999,1.00E+30,,,c,c,cc
EX_malthx(e),EX_malthx(e),,EX_malthx(e),EX_malthx_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_glcr(e),EX_glcr(e),,EX_glcr(e),EX_glcr_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_glcur(e),EX_glcur(e),,EX_glcur(e),EX_glcur_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_maltpt(e),EX_maltpt(e),,EX_maltpt(e),EX_maltpt_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_gln-L(e),EX_gln-L(e),,EX_gln-L(e),EX_gln__L_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_glu-L(e),EX_glu-L(e),,EX_glu-L(e),EX_glu__L_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_gly(e),EX_gly(e),,EX_gly(e),EX_gly_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_glyald(e),EX_glyald(e),,EX_glyald(e),EX_glyald_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_glyb(e),EX_glyb(e),,EX_glyb(e),EX_glyb_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_malttr(e),EX_malttr(e),,EX_malttr(e),EX_malttr_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_glyc3p(e),EX_glyc3p(e),,EX_glyc3p(e),EX_glyc3p_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
,EX_glyc(e),EX_glyc(e),EX_glyc(e),EX_glyc_e,0,0,Varied,,,999999,999999,Varied,,,c,c,cc
EX_glyclt(e),EX_glyclt(e),,EX_glyclt(e),EX_glyclt_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
,EX_gsn(e),EX_gsn(e),EX_gsn(e),EX_gsn_e,0,0,0,,,999999,999999,1E+30,,,c,c,cc
EX_gua(e),EX_gua(e),,EX_gua(e),EX_gua_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_maltttr(e),EX_maltttr(e),,EX_maltttr(e),EX_maltttr_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_man6p(e),EX_man6p(e),,EX_man6p(e),EX_man6p_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
,EX_man(e),EX_man(e),EX_man(e),EX_man_e,0,0,0,,,999999,999999,1E+30,,,c,c,cc
EX_melib(e),EX_melib(e),,EX_melib(e),EX_melib_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_met-D(e),EX_met-D(e),,EX_met-D(e),EX_met__D_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
,EX_met-L(e),EX_met-L(e),EX_met-L(e),EX_met__L_e,0,0,0,,,999999,999999,1E+30,,,c,c,cc
EX_mnl(e),EX_mnl(e),,EX_mnl(e),EX_mnl_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_na1(e),EX_na1(e),,EX_na1(e),EX_na1_e,-999999,-999999,-1.00E+30,,,999999,999999,1.00E+30,,,c,,cc
EX_nac(e),EX_nac(e),,EX_nac(e),EX_nac_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_nad(e),EX_nad(e),,EX_nad(e),EX_nad_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_nh4(e),EX_nh4(e),,EX_nh4(e),EX_nh4_e,-999999,-1000,-1.00E+30,,,999999,999999,1.00E+30,,,c,,cc
EX_nmn(e),EX_nmn(e),,EX_nmn(e),EX_nmn_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
