13dpg
2pg
3pg
6pgc
6pgl
ac
ac[e]
acald
acald[e]
accoa
acon-C
actp
adp
akg
akg[e]
amp
atp
cit
co2
co2[e]
coa
dhap
e4p
etoh
etoh[e]
f6p
fdp
for
for[e]
fru[e]
fum
fum[e]
g3p
g6p
glc-D[e]
gln-L
gln-L[e]
glu-L
glu-L[e]
glx
h2o
h2o[e]
h
h[e]
icit
lac-D
lac-D[e]
mal-L
mal-L[e]
nad
nadh
nadp
nadph
nh4
nh4[e]
o2
o2[e]
oaa
pep
pi
pi[e]
pyr
pyr[e]
q8
q8h2
r5p
ru5p-D
s7p
succ
succ[e]
succoa
xu5p-D
