Rxn_RK,Rxn_FF,LB_AP,UB_AP,LB_FF,UB_FF,LB_RK,UB_RK,name_chek,
EX_glcur(e),EX_glcur_e,0,999999,0,999999,0,1.00E+30,,
EX_maltpt(e),EX_maltpt_e,0,999999,0,999999,0,1.00E+30,,
EX_gln-L(e),EX_gln__L_e,0,999999,0,999999,0,1.00E+30,,
EX_glu-L(e),EX_glu__L_e,0,999999,0,999999,0,1.00E+30,,
EX_gly(e),EX_gly_e,0,999999,0,999999,0,1.00E+30,,
EX_glyald(e),EX_glyald_e,0,999999,0,999999,0,1.00E+30,,
EX_glyb(e),EX_glyb_e,0,999999,0,999999,0,1.00E+30,,
EX_malttr(e),EX_malttr_e,0,999999,0,999999,0,1.00E+30,,
EX_glyc3p(e),EX_glyc3p_e,0,999999,0,999999,0,1.00E+30,,
EX_glyc3p(e),EX_glyc_e,0,999999,0,999999,0,1.00E+30,,
EX_glyclt(e),EX_glyclt_e,0,999999,0,999999,0,1.00E+30,,
EX_dgsn(e),EX_gsn_e,0,999999,0,999999,0,1.00E+30,,
EX_gua(e),EX_gua_e,0,999999,0,999999,0,1.00E+30,,
EX_maltttr(e),EX_maltttr_e,0,999999,0,999999,0,1.00E+30,,
EX_man6p(e),EX_man6p_e,0,999999,0,999999,0,1.00E+30,,
EX_acmana(e),EX_man_e,0,999999,0,999999,0,1.00E+30,,
EX_melib(e),EX_melib_e,0,999999,0,999999,0,1.00E+30,,
EX_met-D(e),EX_met__D_e,0,999999,0,999999,0,1.00E+30,,
EX_met-D(e),EX_met__L_e,0,999999,0,999999,0,1.00E+30,,
EX_mnl(e),EX_mnl_e,0,999999,0,999999,0,1.00E+30,,
EX_na1(e),EX_na1_e,-999999,999999,-999999,999999,-1E+30,1.00E+30,,
EX_nac(e),EX_nac_e,0,999999,0,999999,0,1.00E+30,,
EX_nad(e),EX_nad_e,0,999999,0,999999,0,1.00E+30,,
EX_nh4(e),EX_nh4_e,-1000,999999,-999999,999999,-1E+30,1.00E+30,,
EX_nmn(e),EX_nmn_e,0,999999,0,999999,0,1.00E+30,,
EX_no2(e),EX_no2_e,0,999999,0,999999,0,1.00E+30,,
EX_no3(e),EX_no3_e,0,999999,0,999999,0,1.00E+30,,
EX_no2(e),EX_o2_e,0,0,-20,0,0,1.00E+30,,
EX_ocdca(e),EX_ocdca_e,0,999999,0,999999,0,1.00E+30,,
EX_orn(e),EX_orn_e,0,999999,0,999999,0,1.00E+30,,
EX_phe-L(e),EX_phe__L_e,0,999999,0,999999,0,1.00E+30,,
EX_pi(e),EX_pi_e,-1000,999999,-999999,999999,-1E+30,1.00E+30,,
EX_pnto-R(e),EX_pnto__R_e,0,999999,0,999999,0,1.00E+30,,
EX_3hpppn(e),EX_pppn_e,0,999999,0,999999,0,1.00E+30,,
EX_pro-L(e),EX_pro__L_e,0,999999,0,999999,0,1.00E+30,,
EX_ptrc(e),EX_ptrc_e,0,999999,0,999999,0,1.00E+30,,
EX_pyr(e),EX_pyr_e,0,999999,0,999999,Varied,Varied,,
EX_rib-D(e),EX_rib__D_e,0,999999,0,999999,0,1.00E+30,,
EX_rmn(e),EX_rmn_e,0,999999,0,999999,0,1.00E+30,,
EX_sbt-D(e),EX_sbt__D_e,0,999999,0,999999,0,1.00E+30,,
EX_ser-D(e),EX_ser__D_e,0,999999,0,999999,0,1.00E+30,,
EX_ser-D(e),EX_ser__L_e,0,999999,0,999999,0,1.00E+30,,
EX_so4(e),EX_so4_e,-1000,999999,-999999,999999,-1E+30,1.00E+30,,
EX_spmd(e),EX_spmd_e,0,999999,0,999999,0,1.00E+30,,
EX_succ(e),EX_succ_e,0,1000,0,999999,Varied,Varied,,
EX_sucr(e),EX_sucr_e,0,999999,0,999999,0,1.00E+30,,
EX_tartr-L(e),EX_tartr__L_e,0,999999,0,999999,0,1.00E+30,,
EX_taur(e),EX_taur_e,0,999999,0,999999,0,1.00E+30,,
EX_thm(e),EX_thm_e,0,999999,0,999999,0,1.00E+30,,
EX_thr-L(e),EX_thr__L_e,0,999999,0,999999,0,1.00E+30,,
EX_thymd(e),EX_thymd_e,0,999999,0,999999,0,1.00E+30,,
EX_tma(e),EX_tma_e,0,999999,0,999999,0,1.00E+30,,
EX_tmao(e),EX_tmao_e,0,999999,0,999999,0,1.00E+30,,
EX_tre(e),EX_tre_e,0,999999,0,999999,0,1.00E+30,,
EX_trp-L(e),EX_trp__L_e,0,999999,0,999999,0,1.00E+30,,
EX_tsul(e),EX_tsul_e,0,999999,0,999999,0,1.00E+30,,
EX_ttdca(e),EX_ttdca_e,0,999999,0,999999,0,1.00E+30,,
EX_tyr-L(e),EX_tyr__L_e,0,999999,0,999999,0,1.00E+30,,
EX_ura(e),EX_ura_e,0,999999,0,999999,0,1.00E+30,,
EX_urea(e),EX_urea_e,0,999999,0,999999,0,1.00E+30,,
EX_duri(e),EX_uri_e,0,999999,0,999999,0,1.00E+30,,
EX_val-L(e),EX_val__L_e,0,999999,0,999999,0,1.00E+30,,
EX_hxan(e),EX_xan_e,0,999999,0,999999,0,1.00E+30,,
EX_xtsn(e),EX_xtsn_e,0,999999,0,999999,0,1.00E+30,,
EX_xyl-D(e),EX_xyl__D_e,0,999999,0,999999,0,1.00E+30,,
